Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,
7.065573648,0.50912382,6.93135317,0.329915786,4.22640102,0.230386709,4.756793448,0.205254246
7.157679598,0.539904125,7.064230996,0.355613903,4.389936075,0.26122793,4.910079589,0.230969768
7.31114476,0.586087635,7.217651403,0.396680416,4.563541022,0.276726862,5.022414835,0.241299489
7.40325071,0.61686794,7.330165668,0.427478126,4.66576162,0.297281875,5.196154047,0.272149412
7.505605573,0.652773945,7.463043494,0.453176243,4.829296674,0.328123096,5.39034633,0.308133738
7.597711524,0.683554249,7.57564727,0.494207947,4.951925587,0.348695514,5.553881384,0.33897496
7.710270544,0.719468956,7.677912623,0.519879957,5.115505397,0.384653732,5.707167526,0.364690481
7.812670163,0.760491958,7.770018573,0.550660262,5.217725994,0.405208745,5.809388123,0.385245494
7.925318693,0.806640659,7.862079768,0.576323569,5.330195505,0.430889457,5.901494074,0.416025799
8.017514154,0.847654958,7.964389876,0.607112576,5.422211945,0.451435768,6.013963584,0.441706511
8.119869017,0.883560963,8.076948897,0.643027283,5.534726211,0.482233477,6.208290132,0.493041829
8.232562303,0.934826661,8.169144358,0.684041582,5.636991564,0.507905487,6.320759643,0.518722541
8.345210834,0.980975362,8.281703378,0.719956289,5.770003655,0.548954596,6.453771734,0.55977165
8.437451049,1.027106659,8.384102996,0.760979291,5.882473166,0.574635308,6.566330755,0.595686356
8.560393248,1.083498057,8.476253702,0.796876593,5.995076941,0.615667012,6.668640863,0.626475364
8.652678218,1.134746351,8.588946988,0.848142291,6.107635962,0.651581719,6.760791568,0.662372666
8.76541626,1.191129046,8.691301851,0.884048296,6.230443896,0.692622125,6.893803659,0.703421774
8.878154301,1.247511742,8.783497311,0.925062595,6.322505091,0.718285433,6.985954365,0.739319076
8.990892342,1.303894438,8.875737526,0.971193891,6.455606692,0.769568536,7.108807053,0.78547648
9.09338147,1.355151434,8.988475567,1.027576587,6.588753049,0.825968637,7.200913004,0.816256785
9.206209021,1.421768124,9.090964696,1.078833583,6.70131207,0.861883343,7.313561535,0.862405486
9.319036572,1.488384814,9.183204911,1.12496488,6.834503181,0.923400441,7.467160962,0.923939988
9.534308497,1.601141503,9.285649284,1.171104879,6.936858044,0.959306445,7.600396828,0.990574083
9.626638222,1.657506794,9.377934255,1.222353172,7.029053505,1.000320745,7.692547534,1.026471385
9.719012703,1.718989082,9.531623192,1.294121669,7.12129372,1.046452041,7.795036662,1.077728381
9.821636096,1.78559707,9.623997673,1.355603957,7.223648583,1.082358046,7.887187367,1.113625683
9.913965822,1.841962361,9.716327398,1.411969248,7.35688445,1.148992141,8.020423234,1.180259778
10.00629555,1.898327652,9.818861282,1.468343242,7.469577736,1.200257839,8.122867607,1.226399777
10.10882943,1.954701645,9.911191007,1.524708533,7.561817951,1.246389135,8.215242088,1.287882065
10.20124867,2.021300931,10.00356549,1.586190821,7.664262324,1.292529134,8.307482303,1.334013362
