Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,
0.269679434,0.226324729,0.284477519,0.12077602,0.275830558,0.172885928,0.364258951,0.108542881
0.277171107,0.232982515,0.291967111,0.126098251,0.284567027,0.178204829,0.371748543,0.113865112
0.285909659,0.239636969,0.300705662,0.132752706,0.292056619,0.183527061,0.38173189,0.119180683
0.294650291,0.247626978,0.331910908,0.154038301,0.300795171,0.190181515,0.39046836,0.124499584
0.302144047,0.255620316,0.34065154,0.16202831,0.30953164,0.195500416,0.399204829,0.129818485
0.310884679,0.263610325,0.34938801,0.167347211,0.317023314,0.202158201,0.409188177,0.135134055
0.319625312,0.271600333,0.356879684,0.174004996,0.325763947,0.21014821,0.417924646,0.140452956
0.329614904,0.280922565,0.365618235,0.18065945,0.335749376,0.216799334,0.429156953,0.147100749
0.337110741,0.290251457,0.374354704,0.185978351,0.344487927,0.223453789,0.441634055,0.152409659
0.345851374,0.298241465,0.384344296,0.195300583,0.351981682,0.231447127,0.454121565,0.164396336
0.354594088,0.307567027,0.39183597,0.201958368,0.360720233,0.238101582,0.462858035,0.169715237
0.362089925,0.31689592,0.400576603,0.209948376,0.371956703,0.247420483,0.470347627,0.175037469
0.370832639,0.326221482,0.409317236,0.217938385,0.381944213,0.255407161,0.47908826,0.183027477
0.379573272,0.33421149,0.418057868,0.225928393,0.390684846,0.263397169,0.487824729,0.188346378
0.387069109,0.343540383,0.425549542,0.232586178,0.399423397,0.270051624,0.495316403,0.195004163
0.395813905,0.354201499,0.434292256,0.24191174,0.410661948,0.280706078,0.504052873,0.200323064
0.404556619,0.363527061,0.443032889,0.249901749,0.420653622,0.291363863,0.512791424,0.206977519
0.413301415,0.374188177,0.450526644,0.257895087,0.429392173,0.298018318,0.520285179,0.214970858
0.423295171,0.386181515,0.459267277,0.265885096,0.438132806,0.306008326,0.52902373,0.221625312
0.439529559,0.402164863,0.468012073,0.276546211,0.445626561,0.314001665,0.537762281,0.228279767
0.455778518,0.427497086,0.47550791,0.285875104,0.454367194,0.321991674,0.545256037,0.236273106
0.464523314,0.438158201,0.484250624,0.295200666,0.464358868,0.332649459,0.553994588,0.24292756
0.47326811,0.448819317,0.492991257,0.303190674,0.473097419,0.339303913,0.562737302,0.252253122
0.480766028,0.459483764,0.500489176,0.313855121,0.480593256,0.348632806,0.570228976,0.258910908
0.489510824,0.470144879,0.50923189,0.323180683,0.510568276,0.380606162,0.578967527,0.265565362
0.49825562,0.480805995,0.517976686,0.333841799,0.519306828,0.387260616,0.587710241,0.274890924
0.505753539,0.491470441,0.545464197,0.369828476,0.528049542,0.396586178,0.595201915,0.281548709
0.514498335,0.502131557,0.554206911,0.379154038,0.535545379,0.405915071,0.603944629,0.290874271
0.523243131,0.512792673,0.562953789,0.391150708,0.544286012,0.413905079,0.612683181,0.297528726
0.530741049,0.523457119,0.570451707,0.401815154,0.553028726,0.423230641,0.621425895,0.306854288
0.539485845,0.534118235,0.579198585,0.413811823,0.560526644,0.433895087,0.628921732,0.316183181
0.548230641,0.544779351,0.587943381,0.424472939,0.569269359,0.443220649,0.637660283,0.322837635
0.55572856,0.555443797,0.595445462,0.437808493,0.578009992,0.451210658,0.646402998,0.332163197
0.564475437,0.567440466,0.60419234,0.449805162,0.58550791,0.461875104,0.653898834,0.34149209
0.573220233,0.578101582,0.612939217,0.461801832,0.594250624,0.471200666,0.662639467,0.349482098
0.580722315,0.591437136,0.620439217,0.473801832,0.602993339,0.480526228,0.671382182,0.35880766
0.589467111,0.602098251,0.629190258,0.488469609,0.610491257,0.491190674,0.688861366,0.373452123
0.598213988,0.614094921,0.637941299,0.503137386,0.61923189,0.499180683,0.702612406,0.3961199
0.605713988,0.626094921,0.685460033,0.591157369,0.627976686,0.509841799,0.711355121,0.405445462
0.614462948,0.639427144,0.724254788,0.681871774,0.667949625,0.5564796,0.718853039,0.416109908
0.646956703,0.687420483,0.760597419,0.799303913,0.699188177,0.599134055,0.727599917,0.428106578
0.654456703,0.699420483,0.741892173,0.798018318,0.717926728,0.62178851,0.736344713,0.438767694
0.663207744,0.71408826,,,0.726673605,0.633785179,0.743844713,0.450767694
0.671954621,0.726084929,,,0.734171524,0.644449625,0.752593672,0.464099917
0.679458784,0.740756037,,,0.742918401,0.656446295,0.761342631,0.47743214
0.688205662,0.752752706,,,0.751663197,0.66710741,0.768846794,0.492103247
0.696956703,0.767420483,,,0.759161116,0.677771857,0.777597835,0.506771024
0.704460866,0.78209159,,,0.787899667,0.716426311,0.787601998,0.525442132
0.713207744,0.79408826,,,0.796644463,0.727087427,0.797601998,0.541442132
0.72195254,0.804749376,,,0.804142381,0.737751873,0.811361366,0.569452123
0.736908826,0.800702748,,,0.812887177,0.748412989,0.823873855,0.597465445
0.739402581,0.800696087,,,0.821636137,0.761745212,0.832641549,0.622817652
,,,,0.831629892,0.773738551,0.846417569,0.661512073
,,,,0.840374688,0.784399667,0.860172773,0.686850958
,,,,0.847872606,0.795064113,0.868944629,0.714874271
,,,,0.856617402,0.805725229,0.882703997,0.742884263
,,,,0.867835137,0.803024147,0.895235221,0.782917569
,,,,0.876565362,0.804336386,0.907751873,0.813601998
,,,,0.886546628,0.808316403,,
,,,,0.895276853,0.809628643,,
,,,,0.906504996,0.813605329,,
